Collection ID,GenBank Accession,Date,Location,Decimal Degrees GPS Coordinates,Host,Collector
95-21,PX844237,14vii1995,"USA: NH, Coos Co., Pittsburg",,Betula alleghaniensis,Carol von Dohlen
99-18,PX844241,28iv1999,"USA: MD, Prince George's Co., College Park",,Betula nigra,Carol von Dohlen
99-22,PX844239,29iv1999,"USA: NC, New Hanover Co., Wilmington",,Betula nigra,Carol von Dohlen
99-54,,28v1999,"USA: UT, Cache Co., Logan","41.7333, -111.833",Betula nigra,Carol von Dohlen
99-57,PX844240,25vi1999,"USA: WI, Dane Co., Madison, Allen Memorial Gardens",,Betula nigra,Carol von Dohlen
CNC#HEM028469,EU701678,02vii1999,"USA: PA, Rothrock State Forest","40.7322, -77.7536",Hamamelis virginiana,Eric Maw
CNC#HEM063630,GU668536,13vii2009,"CA: AB, Cold Lake Provincial Park","54.4608, -110.138",Betula papyrifera,"Eric Maw, Robert G. Foottit"
CNC#HEM039109.2,HQ578936,06x2001,"CA: ON, Ottawa, McKenna Road","45.041, -75.904",Pteridium aquilinum,Eric Maw
CNC#HEM069856,HQ970753,14v2010,"CA: QC, Maskinonge, Louiseville","46.198, -73.0057",Betula populifolia,"Eric Maw, Jean-Paul Nadeau"
CNC#HEM069866,HQ970760,27v2010,"CA: ON, Wellington Co., Guelph","43.54, -80.2136",Betula papyrifera,Eric Maw
CNC#HEM007853,KR030511,17vii1994,"CA: ON, Peterborough Co., Clarina","44.5608, -78.0447",Betula papyrifera,Eric Maw
CNC#HEM071248,KR031121,11vi2010,"CA: QC, Monteregie, Saint-Hyacinthe","45.6481, -72.9572",Betula papyrifera,Claude Pilon
CNC#HEM061562,KR032375,22viii2008,"CA: NS, Lunenburg Co., Newcombville","44.3737, -64.5976",Hamamelis virginiana,"Eric Maw, C. Thompson"
CNC#HEM007856,KR034635,17vii1994,"CA: ON, Frontenac Co., Silver Lake","44.824, -76.599",Betula papyrifera,Eric Maw
CNC#HEM057069,KR035033,19vii2007,"CA: MB, Devils Lake","52.4037, -98.9115",Betula papyrifera,"Eric Maw, Robert G. Foottit"
BIOUG06234-E07,KR036009,14vii2012,"CA: SK, Prince Albert National Park, Boundary Bog Trail","53.9055, -106.025",Malaise trap,BIOBus 2012
BIOUG06240-H09,KR036113,11vii2012,"CA: SK, Prince Albert National Park, Boundary Bog Trail","53.9055, -106.025",Malaise trap,BIOBus 2012
CNC#HEM072236,KR036157,19vi2011,"CA: QC, Montreal, Montreal","45.6797, -73.5067",Hamamelis virginiana,Claude Pilon
CNC#HEM025964,KR037514,07vi1998,"CA: ON, Ottawa, Nepean","45.2892, -75.8122",Betula papyrifera,Eric Maw
CNC#HEM055764,KR038599,22vi2007,"USA: MI, Newaygo Co., Lake Dean","43.7528, -85.9052",Hamamelis virginiana,"Eric Maw, Bryan M. T. Brunet"
CNC#HEM056915,KR038628,28vi2007,"CA: ON, Algoma District, Leeburn","46.4657, -83.8064",Betula papyrifera,"Eric Maw, Bryan M. T. Brunet"
CNC#HEM028336,KR039229,20v1999,"CA: ON, Ottawa, Mer Bleue Conservation Ar","45.3964, -75.5161",Betula alleghaniensis,Eric Maw
BIOUG06234-E08,KR039308,14vii2012,"CA: SK, Prince Albert National Park, Boundary Bog Trail","53.9055, -106.025",Malaise trap,BIOBus 2012
CNC#HEM056848,KR041177,26vi2007,"USA: WI, Washburn Co., Trego","45.9062, -91.8092",Betula papyrifera,"Eric Maw, Bryan M. T. Brunet"
CNC#HEM057116,KR041455,20vii2007,"CA: MB, Thompson","55.9047, -98.2668",Betula papyrifera,"Eric Maw, Robert G. Foottit"
CNC#HEM071780,KR043164,01vi2011,"CA: ON, Ottawa","45.3919, -75.7152",Betula `Crimson Frost`,Eric Maw
BIOUG06234-E10,KR043981,14vii2012,"CA: SK, Prince Albert National Park, Boundary Bog Trail","53.9055, -106.025",Malaise trap,BIOBus 2012
BIOUG06525-F03,KR044039,14vii2012,"CA: SK, Prince Albert National Park, Narrows Peninsula Trail","53.9872, -106.282",Malaise trap,BIOBus 2012
CNC#HEM006689,KR044153,13viii1993,"CA: NB, York Co., Fredericton","45.9576, -66.6648",Hamamelis virginiana,"Eric Maw, Robert G. Foottit"
BIOUG09125-C07,KR342756,18vi2013,"CA: ON, Rouge National Urban Park, Toronto Zoo","43.8223, -79.1897",Malaise trap,"L.Attard, K.Greenham"
BIOUG06234-E06,KR566833,14vii2012,"CA: SK, Prince Albert National Park, Boundary Bog Trail","53.9055, -106.025",Malaise trap,BIOBus 2012
